gene,WD_t0_KO_VS_wWD_t0_wt_FC
St3gal5,-0.952659328253803
C2,1.9082217287873602
Wbscr17,1.9139912811714501
Opcml,1.65515263233383
Gm6548,1.67917313680328
Egfr,1.04935969133506
Scrn1,1.54372049729487
Tmem119,1.5362233483570802
Ushbp1,-0.9855002679782181
C1qtnf5,1.54656311129124
Pnmal2,2.8311634573236
Bace2,1.62005487373841
Slc25a46,-0.815401932818685
Cotl1,1.56536230968416
Galnt10,0.8922222722231958
Crem,-1.05087082164896
Pcolce2,0.99276222893585
D630003M21Rik,1.7827716633444097
F3,1.0586615391223102
Arhgef40,0.812043167545433
Lpar6,-1.23271316797693
Anpep,1.67937039871756
Sult1a1,-0.795687591578891
Sele,2.88954243336148
Efemp1,1.4666965338042
Fam198a,1.75063900567373
Hpse,1.80201303415497
