gene,WD_t1_KO_VS_WD_t1_DKO_FC
Eif4ebp1,0.9149189546674229
Arap1,-0.7965126470265379
Rnh1,-1.19316458549355
Igkv15-103,5.48022580293194
Wsb2,-0.917304110155886
Itgav,-1.0994208089333002
Dennd2a,-0.852499775470254
Il10rb,-1.29971863716204
Fzd4,0.818552535665361
Atp5sl,0.732641025246933
Epdr1,-1.09952398076935
Mfge8,-2.5991883961782998
Ttpa,2.15143318609424
Tecr,0.7534560729932791
Cd82,-0.7269238254916741
Lair1,-2.4770019111635695
Tmem204,1.00337786641711
Plpp2,-1.20509326136285
Evl,-1.1241395466131898
Nucb2,-0.8035953647294921
Gdf15,-2.57838109077469
Timp1,-2.57937518550235
Cox6a1,1.12383717136376
Slc41a2,-1.54908098556232
Asah1,-1.5439216081698501
Glrx5,0.9282961457237309
Rgs1,-2.7545695492415296
Naip2,-1.54371634567829
Trem2,-4.03203175784212
Pla2g4a,-1.1490139287650702
Ptafr,-1.7902888756935802
Robo4,1.19826145641159
Maged2,-0.84721601335693
Ndufs7,0.950821744265002
Wls,-1.0405464439110899
Acer2,1.31444351241478
Mrpl38,0.99667086868078
Sidt1,3.33550336544028
Gm14461,-2.18290373104289
Aprt,-1.22528996627949
Nab2,-0.781353282275884
Arfgap3,-0.9125304325514391
2310030G06Rik,-1.749325664073
Ifi30,-1.4398855669223503
Macrod1,1.15244057186318
Serpinb6b,-1.44566985896575
Rasgrp2,1.1336750643232198
Litaf,-1.9875144371349298
Htr2b,-3.10956929338062
Pcdhb9,-1.89758841073809
Anxa1,-2.08414024722299
P2rx7,-1.18509219545198
Syt7,1.22448909648498
Fitm2,1.1338582424260701
Ext1,-0.8053441726659
Fuca1,-0.7381416750974978
Cd300ld,-1.8464224776983003
Fyb,-1.20079542227932
Prc1,-1.48001574329098
Sdc1,-2.11395324464422
Gucd1,0.845338574815498
Pea15a,-0.9333415950355091
Pygm,1.7726038829229098
Ptprs,-1.10779103173156
Tmem189,-1.0614328565386
Cd14,-1.7720463522672
Zeb2,-0.7194938386363109
Pira6,-2.47312932346569
Taok3,-0.818639693087386
Oit3,-2.7891004873608702
C1qc,-2.05281963426173
Cox8a,0.9399048409844459
Vwa5a,-0.7785976480722259
Ighg3,5.7598901633313
Ptk7,-1.68279874232208
Col1a1,-2.08424544675623
Grb2,-0.790795783409597
Tmem26,-2.7810071576758397
Anxa3,-0.9955287155663539
Vav1,-1.63778777294925
Col8a1,-2.72683950614028
Abca8b,0.8104670537356421
Mical1,-0.9347379923163879
Rap2b,-1.66967782686237
Hint2,0.7581999785438851
Itih3,-1.69462167526723
Itpripl2,-1.26360199612251
Cd300lb,-3.12060996179213
Osm,-2.31488832753252
Mgat5,-1.67572978251919
Sec61a1,-0.745354089480761
Gjb5,-2.50241975579361
Tmem51,-1.2009305889908999
Fnip2,-2.2250969624832297
Nxnl1,2.34327908426486
F5,-1.7682265048295
Igfbp6,1.0621158352881501
Ly9,-1.7741133211622
Ttyh3,-0.7574575040611049
Kcna5,2.0485182285876204
Snx8,-0.891604966011038
